Localidade,Provincia,Nivel,Tipo,Familia ou rama,Estudo,Centro ou sede,Universidade,Campus,Prazas,Fonte
A Estrada,Pontevedra,FP,fp,"Madeira, moble e cortiza",Carpintaría e moble,IES Plurilingüe Antón Losada Diéguez,,,36,https://www.edu.xunta.gal/fp/oferta-fp
A Estrada,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,IES Plurilingüe Antón Losada Diéguez,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Estrada,Pontevedra,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Plurilingüe Antón Losada Diéguez,,,18,https://www.edu.xunta.gal/fp/oferta-fp
O Grove,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,IES Monte da Vila,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Guarda,Pontevedra,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES A Sangriña,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Guarda,Pontevedra,FP,fp,Administración e xestión,Servizos administrativos,IES A Sangriña,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Lalín,Pontevedra,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Laxeiro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Lalín,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,IES Ramón Mª Aller Ulloa,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Marín,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,IES Chan do Monte,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Marín,Pontevedra,FP,fp,Instalación e mantemento,Mantemento de vivendas,IES Chan do Monte,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Moaña,Pontevedra,FP,fp,Informática e comunicacións,Informática de oficina,,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Moaña,Pontevedra,FP,fp,Electricidade e electrónica,Instalacións electrotécnicas e mecánica,,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Mos,Pontevedra,FP,fp,Comercio e márketing,Servizos comerciais,IES de Mos,,,18,https://www.edu.xunta.gal/fp/oferta-fp
